"gender","usage","credit","loan","history","accounts","status"
"男性",1.27208430810366,5000,0,3,0,2
"男性",1.28224355603568,2000,0,14,2,3
"男性",1.25035379598849,3000,0,0,17,0
"男性",0.106066392553039,20000,2770,0,4,0
"男性",0.716574136628769,5000,0,0,1,0
"女性",0.134271260974929,5000,0,1,3,2
"男性",1.11509228278883,10000,0,0,13,2
"男性",0.347092739613727,6000,0,0,0,3
"男性",0,5000,2407,1,4,0
"男性",0,3000,0,1,2,0
"男性",0.717952822907828,2000,0,3,7,2
"男性",1.37128521610983,3000,0,2,1,2
"男性",0.824533933512867,3000,3110,0,11,3
"男性",1.19832427657209,2000,0,0,25,0
"男性",1.26935711820144,3000,0,2,3,3
"男性",1.16635101574007,5000,0,2,0,2
"男性",1.07840567073785,2000,0,0,6,0
"男性",1.24854583336972,3000,0,0,0,1
"男性",0.824323319499381,5000,0,0,0,1
"男性",0.0685685363970697,3000,0,1,1,2
"男性",1.08111553260125,3000,0,10,6,2
"男性",0.811051258351654,3500,0,0,0,0
"男性",0.699154466916807,10000,0,1,2,1
"男性",1.10950612745248,2000,0,0,0,0
"男性",0.922710495493375,5000,0,2,0,0
"男性",0.0138064032793045,5000,0,0,0,0
"男性",1.12368495981209,5000,0,2,7,0
"女性",0.81160876498092,5000,230,2,2,0
"男性",1.29314784104004,12000,0,6,9,4
"男性",0.348323675785214,5000,0,0,1,2
"男性",1.194567226246,10000,1118,0,0,0
"男性",0.238279622988775,5000,0,0,1,1
"男性",1.12363580341917,2000,0,3,0,3
"男性",0.315463922997005,8000,4345,2,2,0
"男性",0.280405625523999,5000,0,2,3,3
"男性",0.874415516094305,3000,0,3,0,2
"女性",1.07379934873898,3000,0,1,3,2
"男性",1.21410947032738,7000,0,0,7,2
"女性",0.0549124211678281,3000,0,1,0,0
"男性",0.460650612106547,10000,3615,1,4,1
"男性",0.741050999150611,3000,0,1,3,2
"男性",1.20688837958034,3000,0,1,0,0
"男性",0.19226338671986,5000,3860,0,0,0
"男性",0,5000,0,0,1,2
"女性",0.115367463314906,5000,3376,0,3,0
"男性",0.595908506764099,3000,0,0,1,1
"男性",1.22147411269136,3000,0,5,1,2
"男性",0.229507311470807,20000,2641,0,1,0
"女性",0.472724196380004,3000,0,1,2,3
"男性",0.111308746011928,10000,0,0,0,0
"男性",1.03360821596347,2000,0,6,13,0
"男性",0.864092548741028,3000,0,1,1,0
"男性",1.2250319165783,3000,3571,3,1,1
"男性",1.04217345011421,3000,2002,0,1,0
"男性",1.21686702814419,1500,0,1,21,4
"男性",0,3000,0,3,0,3
"男性",0.519021870591678,3000,0,2,10,1
"女性",1.40328300673515,2000,0,0,16,0
"女性",0.296348943705671,1000,0,1,6,1
"男性",1.22936360230204,2000,0,0,3,5
"男性",1.1484807723714,3000,0,1,17,3
"男性",1.29473562190775,3000,0,1,4,0
"男性",0,8000,0,0,1,0
"男性",0.88955716103781,3000,0,0,3,0
"男性",0.747411684971303,3000,0,0,1,0
"女性",0.208394430824555,3000,0,1,1,0
"男性",0.666998546761461,2000,1779,0,5,0
"男性",1.00003734601662,3000,0,1,6,1
