"户籍","性别","年龄","工作时间.月.","是否离职"
"本地","男",30,11,1
"异地","女",30,5,1
"异地","女",27,7,1
"异地","女",27,4,1
"本地","女",30,10,1
"异地","男",26,11,1
"异地","女",26,8,1
"本地","男",40,4,1
"异地","男",30,3,1
"异地","女",26,3,1
"异地","男",26,7,1
"异地","男",20,8,1
"异地","女",36,4,1
"异地","女",30,4,1
"异地","女",30,3,1
"本地","男",31,13,1
"异地","男",27,3,1
"本地","男",27,7,1
"异地","男",27,3,1
"异地","女",36,4,1
"异地","男",25,4,1
"异地","男",33,5,1
"异地","男",28,4,1
"异地","男",25,5,1
"异地","女",26,4,1
"本地","男",36,4,1
"异地","男",26,5,1
"异地","男",33,1,1
"异地","女",37,11,1
"本地","女",26,16,1
"异地","女",32,6,1
"异地","男",33,15,1
"异地","男",26,2,1
"异地","男",25,2,1
"本地","女",28,11,1
"异地","男",26,1,1
"异地","男",25,1,1
"本地","女",25,1,1
"异地","女",26,5,1
"本地","男",31,1,1
"异地","女",30,8,1
"异地","男",28,1,1
"异地","男",32,10,1
"异地","女",36,14,1
"异地","男",31,14,1
"异地","男",28,10,1
"异地","男",31,12,1
"异地","男",41,5,1
"本地","女",20,2,1
"异地","男",31,7,1
"异地","女",27,6,1
"异地","男",28,2,1
"异地","女",25,2,1
"异地","男",31,2,1
"异地","男",46,2,1
"异地","男",30,2,1
"异地","男",20,2,1
"异地","女",32,5,1
"本地","女",35,5,1
"异地","男",28,6,1
"异地","男",30,6,1
"异地","男",25,6,1
"异地","男",30,1,1
"异地","男",26,2,1
"异地","男",21,1,1
"异地","男",30,1,1
"异地","女",26,2,1
"异地","男",25,1,1
"异地","女",26,2,1
"本地","男",32,16,1
"异地","男",32,2,1
"异地","男",26,1,1
"异地","男",33,1,1
"异地","男",21,1,1
"异地","女",21,2,1
"异地","男",26,1,1
"异地","男",25,3,1
"异地","女",33,2,1
"本地","男",31,17,1
"异地","男",33,5,1
"本地","男",26,2,1
"异地","男",25,1,1
"本地","男",25,2,1
"异地","女",36,13,1
"异地","男",23,1,1
"本地","女",26,2,1
"异地","男",22,2,1
"异地","男",25,1,1
"异地","男",25,2,1
"本地","女",26,1,1
"异地","男",30,1,1
"异地","男",31,4,1
"异地","男",25,1,1
"异地","男",25,2,1
"本地","男",32,16,1
"异地","男",25,7,1
"异地","男",26,1,1
"异地","女",26,1,1
"异地","男",32,7,1
"异地","男",30,2,1
"异地","男",20,1,1
"异地","女",38,10,1
"异地","女",26,2,1
"异地","男",25,2,1
"异地","男",21,4,1
"异地","男",25,3,1
"异地","男",27,1,1
"异地","女",28,1,1
"本地","女",25,3,1
"异地","男",23,2,1
"异地","女",25,2,1
"异地","男",31,2,1
"本地","男",30,3,1
"异地","女",20,1,1
"异地","女",25,1,1
"异地","女",28,1,1
"异地","男",33,1,1
"异地","女",26,1,1
