district,bedrooms,halls,area,floor,subway,school,price
石景山,2,1,87.44963804,middle,1,0,5.573208704
西城,2,1,81.23814691,high,1,1,8.203455353
石景山,2,1,57.96777002,middle,1,0,4.034183037
西城,3,1,95.23644816,low,1,1,9.5422451
西城,1,1,52.39091405,high,1,0,9.636432084
西城,2,1,76.25832322,middle,1,1,8.883983961
朝阳,5,2,201.2427996,high,0,0,4.587021284
海淀,3,1,130.6774498,high,1,0,5.727314693
东城,1,1,53.80432845,high,1,1,9.881834943
丰台,3,1,141.5158596,high,1,0,5.206200053
朝阳,2,1,60.90451471,high,0,0,5.137201323
东城,1,1,40.47682132,low,1,0,4.171901642
东城,3,1,64.37135789,middle,1,0,8.206707532
朝阳,1,1,56.94114112,middle,1,0,4.340444709
东城,1,1,120.7602538,high,1,0,8.530189289
海淀,3,2,124.8304757,low,1,0,4.04487684
海淀,2,2,96.76937731,high,1,1,7.938193738
朝阳,1,0,59.15879333,low,1,0,5.58125033
朝阳,2,1,51.47717286,low,1,0,3.961559794
海淀,2,2,71.40747135,middle,1,0,7.60208673
丰台,1,1,54.8235629,middle,1,0,5.426806487
东城,2,1,94.5193544,low,1,1,9.537905602
朝阳,2,2,71.75007588,high,1,0,3.947991072
西城,2,1,57.62248299,low,0,0,7.915466247
丰台,3,2,118.5763099,middle,1,0,4.13196416
东城,3,1,63.75719247,low,1,0,8.966683815
海淀,3,1,85.1521507,low,1,0,6.82485027
东城,2,1,71.78496765,high,1,1,12.67131175
朝阳,2,2,112.4089643,low,1,0,7.321959144
海淀,1,1,86.14339906,high,1,0,7.490771879
东城,2,1,48.38614528,middle,1,0,7.106701598
海淀,1,1,66.72013616,middle,1,0,5.451923115
海淀,3,2,141.4593467,high,0,0,6.152063602
丰台,2,1,95.5280362,low,1,0,5.022568962
丰台,2,1,61.37879525,high,1,1,5.503839187
海淀,1,0,62.94609281,middle,1,0,7.550490443
西城,1,1,48.40255564,middle,1,0,7.238138664
西城,2,1,74.51611779,low,1,1,9.067584235
丰台,1,0,50.19586445,high,1,0,4.503875203
西城,2,0,61.33112476,middle,1,1,8.698644222
